sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
S23_S83	90968	8878	9.76	8715	4848	5.33	4807	5.28
S24_S84	150026	16957	11.3	16675	650	0.43	647	0.43
S25_S85	77424	8070	10.42	7854	5397	6.97	5379	6.95
S26_S86	142102	12739	8.96	12633	15	0.01	15	0.01
S27_S87	116261	12210	10.5	12193	0	0	0	0
S28_S88	101170	10530	10.41	10288	951	0.94	936	0.93
S29_S89	131048	15063	11.49	14877	7485	5.71	6685	5.1
S3_S63	119600	13380	11.19	13338	0	0	0	0
S30_S90	68983	7964	11.54	7755	1438	2.08	1437	2.08
S31_S91	97456	8661	8.89	8438	4995	5.13	4948	5.08
S32_S92	95701	6419	6.71	6240	489	0.51	486	0.51
S33_S93	154785	18330	11.84	17766	6698	4.33	6568	4.24
S34_S94	108137	10769	9.96	10344	2486	2.3	2442	2.26
S35_S95	91321	8604	9.42	8587	4	0	4	0
S36_S96	129402	13286	10.27	13045	2849	2.2	2832	2.19
S37_S1	94827	35796	37.75	34237	18353	19.35	17573	18.53
S38_S2	91404	30303	33.15	28656	16991	18.59	15416	16.87
S39_S3	96817	42784	44.19	40950	21906	22.63	20772	21.45
S4_S64	134425	16899	12.57	16578	2851	2.12	2802	2.08
S40_S4	98423	39671	40.31	37852	20703	21.03	19074	19.38
S5_S65	125535	15209	12.12	14965	1785	1.42	1752	1.4
S6_S66	118287	13089	11.07	12417	2850	2.41	2794	2.36
S7_S67	134590	18011	13.38	17376	11133	8.27	10537	7.83
S8_S68	121718	14132	11.61	13767	3588	2.95	3384	2.78
S9_S69	105171	13965	13.28	13864	608	0.58	599	0.57
